15:26:49.855 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] 
15:26:49.855 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] Using the MultiThreadedBuilder implementation with a thread count of 10
15:26:49.857 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] 
15:26:49.858 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] ----------------------< net.finmath:finmath-lib >-----------------------
15:26:49.858 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] Building finmath lib 6.0.21-SNAPSHOT
15:26:49.858 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO]   from pom.xml
15:26:49.858 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] --------------------------------[ jar ]---------------------------------
15:26:50.324 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] 
15:26:50.325 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] --- enforcer:1.0:enforce (enforce-maven) @ finmath-lib ---
15:26:50.561 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] 
15:26:50.561 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] --- buildnumber:1.4:create (default) @ finmath-lib ---
15:26:50.964 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] Executing: /bin/sh -c cd '/Users/amishra/Developer/finmath-lib' && 'git' 'rev-parse' '--verify' 'HEAD'
15:26:50.964 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] Working directory: /Users/amishra/Developer/finmath-lib
15:26:50.999 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] Storing buildNumber: 4c154979dc19222fce4b94d4a8916d2ce7ba2339 at timestamp: 1746023210955
15:26:51.032 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] Storing buildScmBranch: master
15:26:51.035 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] 
15:26:51.035 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] --- resources:3.3.1:resources (default-resources) @ finmath-lib ---
15:26:51.123 [INFO]  [Checking][maven:out][com.diffblue.cover.buildsystem.config.a.a] out: [INFO] Copying 1 resource from src/main/resources to target/classes
